date,market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,horizon,date_calculated,slice
2020-03-31,0.0487714260816574,0.0201185811311007,1725.86145019531,0.0764509886943742,265305.2923,0.876342177391052,0.0,,0.0,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class A
2021-03-31,0.0445495136082172,0.0386332720518112,1792.537109375,0.149644341338207,301631.303,0.878851473331451,18904.486554906227,0.54,8696.063815256864,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class A
2022-03-31,0.0409697033464909,0.141977772116661,2047.03747558594,0.177524782716856,360704.1715,0.926747500896454,22765.042376887868,0.54,10471.91949336842,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class A
2023-03-31,0.0465791113674641,-0.0036798745859414,2039.50463867188,-0.0885029100732108,327175.2956,0.88454669713974,21648.44510326068,0.54,9958.284747499913,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class A
2024-03-31,0.0519353598356247,-0.0516317710280418,1934.20141601563,-0.0856078314589422,299215.6341,0.858674883842468,19930.202114701897,0.54,9167.892972762871,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class A
2025-03-31,0.0534260720014572,-0.0170912686735392,1901.31958007813,-0.0219424789366343,295374.1842,0.870488822460175,19860.92930859223,0.54,9136.027481952424,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class A
2020-03-31,0.0534534081816673,0.0293186269700527,1305.12182617188,0.0915910102108007,158508.5273,0.920997083187103,0.0,,0.0,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class B
2021-03-31,0.0480508171021938,0.0842830687761307,1415.12145996094,0.178322973289187,185494.6064,0.943679213523865,16025.0484765202,0.54,7371.522299199291,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class B
2022-03-31,0.0434920638799667,0.158840402960777,1639.89990234375,0.215944087115906,228081.153,0.936932623386383,18437.708611128033,0.54,8481.345961118896,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class B
2023-03-31,0.0489235706627369,0.0052536819130182,1648.51550292969,-0.017022025586667,211606.0343,0.907723963260651,17956.76430979156,0.54,8260.111582504118,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class B
2024-03-31,0.0543821007013321,-0.0306148454546928,1598.04638671875,-0.0770685390028618,194923.6208,0.8852499127388,16976.045092743938,0.54,7808.980742662211,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class B
2025-03-31,0.0556054376065731,-0.0181860513985157,1563.47094726563,-0.0084257067515011,194623.8939,0.880886316299438,16526.881960536164,0.54,7602.365701846635,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class B
2020-03-31,0.0600483305752277,0.0544363930821419,1019.39953613281,0.106345280608279,94031.6737,0.916674196720123,0.0,,0.0,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class C
2021-03-31,0.05379419028759,0.074187234044075,1095.02587890625,0.189540908876709,111102.894,0.932626664638519,12255.003997646385,0.54,5637.301838917337,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class C
2022-03-31,0.0481927059590816,0.137561053037643,1245.65881347656,0.249534150375528,140160.5123,0.932747721672058,13942.625043011765,0.54,6413.607519785412,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class C
2023-03-31,0.0535263232886791,0.0502060391008854,1308.19848632813,-0.0469845857949795,133440.3172,0.905041635036469,14207.689164223735,0.54,6535.537015542917,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class C
2024-03-31,0.0593734681606293,0.0028851905371993,1311.97290039063,-0.0757660787623364,123046.6599,0.885631561279297,13943.095297548974,0.54,6413.823836872528,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class C
2025-03-31,0.0600724145770073,-0.0029844653327018,1303.14294433594,-0.0006737542041325,123850.3167,0.880007565021515,13761.307791840458,0.54,6330.20158424661,"Atlanta,Georgia",5 Yrs (2020-2025),2020-03-31,Class C
2020-03-31,0.0473503097891808,0.0353260636329651,1651.7880859375,0.061410613241704,245069.7167,0.875113487243652,0.0,,0.0,"Austin,Texas",5 Yrs (2020-2025),2020-03-31,Class A
2021-03-31,0.0438631363213062,0.0254726987332106,1693.86352539063,0.116802090306653,272171.3866,0.889373302459717,18077.723969912677,0.54,8315.753026159831,"Austin,Texas",5 Yrs (2020-2025),2020-03-31,Class A
2022-03-31,0.0403261631727219,0.141344532370567,1933.28186035156,0.169895472651314,321036.0973,0.908054828643799,21066.31114106041,0.54,9690.503124887788,"Austin,Texas",5 Yrs (2020-2025),2020-03-31,Class A
2023-03-31,0.0458567962050438,-0.0061643826775252,1921.36437988281,-0.0881239779303442,291615.4509,0.905617773532867,20880.260782257938,0.54,9604.919959838651,"Austin,Texas",5 Yrs (2020-2025),2020-03-31,Class A
2024-03-31,0.0517302006483078,-0.0566432997584343,1812.53198242188,-0.104225323211096,260432.3072,0.845470249652863,18389.302412184305,0.54,8459.07910960478,"Austin,Texas",5 Yrs (2020-2025),2020-03-31,Class A
2025-03-31,0.0533047989010811,-0.0471861585974693,1728.02416992188,-0.0342804931293072,258426.2151,0.843455672264099,17490.14145516085,0.54,8045.46506937399,"Austin,Texas",5 Yrs (2020-2025),2020-03-31,Class A
2020-03-31,0.0495631024241447,0.0409228056669235,1402.49084472656,0.0756556663918025,195585.8674,0.919775545597076,0.0,,0.0,"Austin,Texas",5 Yrs (2020-2025),2020-03-31,Class B
