,date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon,latitude,longitude
0,2020-03-31,2025-03-31,Class A,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6074989.0,265305.2923,185713.70460999996,79591.58769000001,0.02170454273537792,0.0357551770638693,0.0456,-0.009844822936130704,-46.546459197997976,0.07754788842851079,12625.82800245627,1.4417094416647458,0.8814244850003483,0.08619479761793225,0.08765164834089112,5,33.7489924,-84.3902644
0,2020-03-31,2025-03-31,Class B,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6074989.0,158508.5273,110955.96910999999,47552.558189999996,0.04190639892160908,0.0498702839028032,0.0456,0.0042702839028032,-21.52029424905798,0.16843272381089625,31869.979617742683,2.058654546598877,0.9116695076669701,0.015186774508727963,0.024268065206462186,5,33.7489924,-84.3902644
0,2020-03-31,2025-03-31,Class C,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6074989.0,94031.6737,65822.17159,28209.50211,0.05663402402894091,0.06663812428846473,0.0456,0.02103812428846473,-0.24084001779597908,0.24368848152316858,32473.551367727614,2.6356779177782093,0.9087968183516053,-0.008660274356928288,-0.0005335331923210784,5,33.7489924,-84.3902644
0,2020-03-31,2025-03-31,Class A,Texas,Austin,"Austin,Texas",12420,G2-12420,2266707.0,245069.7167,171548.80169,73520.91501,0.010670021035062316,0.036002588066700154,0.045599999999999995,-0.00959741193329984,-59.54489111900302,0.046897962141981386,444.2116412494506,1.2497125056461544,0.8753595432962344,0.08565182376992464,0.09368181189666247,5,30.2711286,-97.7436995
0,2020-03-31,2025-03-31,Class B,Texas,Austin,"Austin,Texas",12420,G2-12420,2266707.0,195585.8674,136910.10718,58675.76022,0.016364947816223774,0.039228031910588115,0.0456,-0.006371968089411886,-55.62558770179797,0.0733808914274936,7827.3527149745205,1.4036240026937703,0.8894774779706837,0.05250968862264527,0.07016964602953091,5,30.2711286,-97.7436995
0,2020-03-31,2025-03-31,Class C,Texas,Austin,"Austin,Texas",12420,G2-12420,2266707.0,128587.3881,90011.17167,38576.21643,0.018221221943154786,0.048385410212902026,0.045599999999999995,0.0027854102129020314,-54.743103682994985,0.10558286002791983,11270.880750158103,1.5893811335183006,0.9139698726638907,-0.007894711411485011,0.003295487284501908,5,30.2711286,-97.7436995
0,2020-03-31,2025-03-31,Class A,Maryland,Baltimore,"Baltimore,Maryland",12580,G2-12580,2844703.0,268079.9536,187655.96752,80423.98608,0.014472955625573602,0.03923507353868031,0.0456,-0.006364926461319691,-63.27565759420395,0.06741767270561883,8413.184158231277,1.370217820894038,0.8990812769012106,0.05863503822315974,0.053241115239760495,5,39.2908816,-76.610759
0,2020-03-31,2025-03-31,Class B,Maryland,Baltimore,"Baltimore,Maryland",12580,G2-12580,2844703.0,167166.0614,117016.24298,50149.81842000001,0.021286009335277134,0.051377277034651524,0.0456,0.005777277034651522,-54.75372076034594,0.12193970011775357,19006.847436214797,1.6944828343260192,0.9469033935011472,0.00722475109292442,0.008071528392082472,5,39.2908816,-76.610759
0,2020-03-31,2025-03-31,Class C,Maryland,Baltimore,"Baltimore,Maryland",12580,G2-12580,2844703.0,118234.8416,82764.38911999999,35470.45248000001,0.021837923589442587,0.05805277254472624,0.0456,0.012452772544726237,-56.31271749734906,0.14297677469011338,17176.50993246672,1.8157590526449547,0.9460950524003972,-0.004865514309765895,-0.0006763397592350895,5,39.2908816,-76.610759
0,2020-03-31,2025-03-31,Class A,Alabama,Birmingham,"Birmingham,Alabama",13820,G2-13820,1180002.0,199387.759,139571.4313,59816.327699999994,-0.016569641225292808,0.039507918130407244,0.0456,-0.006092081869592758,-111.194588243961,-0.03162626868297225,-18111.641880533345,0.8593059927596801,0.8452924356287029,0.07036034967397131,0.0791042999646796,5,33.5206824,-86.8024326
0,2020-03-31,2025-03-31,Class B,Alabama,Birmingham,"Birmingham,Alabama",13820,G2-13820,1180002.0,122853.3046,85997.31322,36855.99138000001,0.006655976008548281,0.049916945083402275,0.045599999999999995,0.004316945083402281,-76.12206041812904,0.07869282482512996,5591.944860928219,1.412368613946736,0.9050377568068132,0.011036192885149232,0.01799955400781772,5,33.5206824,-86.8024326
0,2020-03-31,2025-03-31,Class C,Alabama,Birmingham,"Birmingham,Alabama",13820,G2-13820,1180002.0,68165.6244,47715.937079999996,20449.687320000005,0.02817538836734146,0.06811063557410467,0.0456,0.022510635574104668,-48.95932972431197,0.186912524716361,14803.389371184792,2.0999849486553654,0.9007278857826058,-0.003121097477663981,-0.0007097504351560868,5,33.5206824,-86.8024326
0,2020-03-31,2025-03-31,Class A,Massachusetts,Boston,"Boston,Massachusetts",14460,G2-14460,4932678.0,568365.8686,397856.10802,170509.76058000006,0.012161810403216844,0.029054111609586996,0.0456,-0.016545888390413006,-50.48863589763704,0.029332413715055017,-13210.415461520257,1.1599226817608923,0.9102746878132756,0.07545265348495134,0.063730891238992,5,42.3554334,-71.060511
0,2020-03-31,2025-03-31,Class B,Massachusetts,Boston,"Boston,Massachusetts",14460,G2-14460,4932678.0,409933.5929,286953.51502999995,122980.07787000004,0.02090116844516543,0.033931466969051124,0.0456,-0.011668533030948877,-41.60098731517799,0.06931355373385717,14550.640887656045,1.3967467743815476,0.9391598709038795,0.0458897672498193,0.04426475162421095,5,42.3554334,-71.060511
